O3,Temp_Avg,Temperature
42.098597222222224,19.830513888888888,Medium Temperature
44.56038888888889,20.91611111111111,High Temperature
50.77761805555556,21.35772916666667,High Temperature
50.88180555555556,21.968729166666662,High Temperature
52.67316666666667,21.668756944444443,High Temperature
50.357875,21.43343055555556,High Temperature
46.95279166666667,21.583256944444443,High Temperature
41.35171527777778,20.65945138888889,High Temperature
44.57420138888889,21.214986111111116,High Temperature
44.63125,20.41241666666667,High Temperature
47.64417361111112,21.789166666666667,High Temperature
36.44812872467223,18.641525625744933,Medium Temperature
46.36608993902439,20.21846153846154,High Temperature
46.613937500000006,19.80740972222222,Medium Temperature
45.31896527777778,19.75925,Medium Temperature
48.07225694444445,20.78097916666667,High Temperature
50.62408333333333,19.64871527777778,Medium Temperature
45.812041666666666,20.193229166666665,High Temperature
49.121090277777775,20.805423611111117,High Temperature
38.442125,20.4874375,High Temperature
44.47498611111112,22.1523125,High Temperature
24.28945091514143,17.73640599001664,Medium Temperature
43.86094444444445,22.485138888888887,High Temperature
51.76501388888889,23.685541666666666,High Temperature
50.53036111111111,24.319590277777777,High Temperature
47.22839583333333,23.691847222222226,High Temperature
49.99317361111111,23.383381944444444,High Temperature
45.39443055555556,21.62905555555556,High Temperature
43.06645138888889,21.77683333333333,High Temperature
43.40754861111111,22.81303472222222,High Temperature
46.80977777777778,23.534111111111116,High Temperature
43.47030555555556,24.098194444444445,High Temperature
45.44541666666667,24.2355625,High Temperature
45.59886805555555,24.432590277777777,High Temperature
48.23558333333334,24.079520833333333,High Temperature
50.8070625,24.31965277777778,High Temperature
42.99051112656468,23.98807638888889,High Temperature
39.696125,23.899756775538567,High Temperature
39.475208333333335,23.83068055555556,High Temperature
34.802083333333336,23.585104166666667,High Temperature
41.97205555555556,23.89663888888889,High Temperature
45.95,24.62586111111111,High Temperature
42.8440625,24.008152777777777,High Temperature
42.05464583333333,23.923805555555557,High Temperature
42.29879861111111,23.242541666666668,High Temperature
41.02654861111111,22.39984722222222,High Temperature
35.668909722222224,22.13706944444445,High Temperature
32.44148611111111,19.938166666666667,Medium Temperature
36.39019444444444,20.71661111111111,High Temperature
41.2050625,18.850104166666668,Medium Temperature
21.114088397790056,17.540055248618785,Medium Temperature
19.109270833333333,18.67827083333333,Medium Temperature
32.95679166666667,19.808777777777777,Medium Temperature
38.33725694444445,19.24911805555556,Medium Temperature
35.238729166666666,19.074659722222226,Medium Temperature
47.904465277777774,19.36075,Medium Temperature
40.25185416666667,20.241465277777777,High Temperature
28.80428472222222,19.379756944444445,Medium Temperature
26.203569444444444,19.914527777777774,Medium Temperature
38.01149305555556,19.114652777777778,Medium Temperature
33.164145833333336,19.25039583333333,Medium Temperature
40.288243055555554,19.425965277777777,Medium Temperature
42.909333333333336,19.53995833333333,Medium Temperature
47.542125000000006,20.7166875,High Temperature
41.57513194444444,20.67198611111111,High Temperature
42.71929166666666,20.726895833333334,High Temperature
45.58594444444444,21.13951388888889,High Temperature
35.782520833333336,19.2846875,Medium Temperature
43.981625,19.382631944444444,Medium Temperature
50.90334722222223,19.98382638888889,Medium Temperature
43.22997216423104,20.34069589422408,High Temperature
37.51790277777778,19.831847222222223,Medium Temperature
35.121875,18.27332638888889,Medium Temperature
32.768819444444446,17.745256944444442,Medium Temperature
24.74651388888889,18.05461805555556,Medium Temperature
24.029611111111112,17.67754861111111,Medium Temperature
35.007083333333334,17.219881944444445,Medium Temperature
33.40092361111111,17.31092361111111,Medium Temperature
20.68875945537065,13.802223903177005,Low Temperature
26.242395833333337,19.5404375,Medium Temperature
38.20175694444444,19.755375,Medium Temperature
33.601256944444444,19.00036831132731,Medium Temperature
20.20654861111111,17.975805555555556,Medium Temperature
23.703125,18.396569444444445,Medium Temperature
24.30340277777778,17.8325,Medium Temperature
21.88284942084942,19.5588416988417,Medium Temperature
36.13798611111111,20.514444444444443,High Temperature
38.20926388888888,20.246659722222223,High Temperature
35.13959027777778,20.43765972222222,High Temperature
34.97728472222222,20.32852083333333,High Temperature
60.749,19.36524305555556,Medium Temperature
44.13373611111111,18.727006944444444,Medium Temperature
36.554402777777774,18.87108333333333,Medium Temperature
30.77636805555556,18.9355625,Medium Temperature
30.354597222222225,18.203791666666667,Medium Temperature
18.99336805555556,17.999777777777776,Medium Temperature
18.93221527777778,18.693513888888887,Medium Temperature
23.778194444444445,18.15,Medium Temperature
29.56352777777778,17.16926388888889,Medium Temperature
26.71140972222222,17.22025,Medium Temperature
33.59127083333333,18.397673611111117,Medium Temperature
31.95534722222222,19.861291666666663,Medium Temperature
27.448347222222225,19.341173611111117,Medium Temperature
29.207173611111116,18.002312500000002,Medium Temperature
33.41251388888889,17.38907638888889,Medium Temperature
29.07413194444445,18.78273611111111,Medium Temperature
22.71313888888889,18.72252083333333,Medium Temperature
30.51480086893556,19.076314265025346,Medium Temperature
31.2826875,18.797131944444445,Medium Temperature
37.63666666666667,18.39073611111111,Medium Temperature
42.66342361111112,19.28009722222222,Medium Temperature
34.462409722222226,19.0825625,Medium Temperature
31.37092361111111,18.58842361111111,Medium Temperature
30.402270833333333,18.51302083333333,Medium Temperature
26.88835416666667,18.134169562195968,Medium Temperature
30.03416550764951,19.31394297635605,Medium Temperature
32.78840972222222,18.844951388888887,Medium Temperature
32.40528472222222,19.33042361111111,Medium Temperature
36.23313888888889,18.60696527777778,Medium Temperature
33.48708333333333,18.94163888888889,Medium Temperature
40.152791666666666,19.11841666666667,Medium Temperature
39.56527083333333,19.83875,Medium Temperature
33.72535416666667,18.691631944444445,Medium Temperature
33.16647916666667,19.26898611111111,Medium Temperature
30.418875,17.853125,Medium Temperature
31.093493055555555,18.10356944444444,Medium Temperature
29.13805555555556,19.460034722222225,Medium Temperature
29.165444444444443,19.644715277777777,Medium Temperature
32.69744444444444,19.82255555555556,Medium Temperature
34.168909722222224,19.63253472222222,Medium Temperature
28.965541666666663,21.0096875,High Temperature
30.461305555555555,20.4720625,High Temperature
29.1420625,19.728291666666667,Medium Temperature
31.435319444444445,19.07599305555556,Medium Temperature
33.832874999999994,18.83075,Medium Temperature
34.30513194444445,19.6728125,Medium Temperature
16.190994475138123,15.832651933701658,Medium Temperature
34.525691452397496,19.543002084781097,Medium Temperature
37.92851388888889,20.34340277777778,High Temperature
33.25427777777778,19.101298611111112,Medium Temperature
23.04182638888889,18.750430555555557,Medium Temperature
23.52146527777778,19.73398611111111,Medium Temperature
33.71615277777778,19.71693055555556,Medium Temperature
29.162694444444444,19.002291666666665,Medium Temperature
35.870263888888886,17.845381944444444,Medium Temperature
22.325222222222223,16.585152777777775,Medium Temperature
17.497222222222224,16.88107638888889,Medium Temperature
15.60669097222222,16.715722222222222,Medium Temperature
13.928822299651568,17.198687500000002,Medium Temperature
19.258461805555555,18.537986111111117,Medium Temperature
27.30856050069541,18.4580625,Medium Temperature
29.82270833333333,18.961770833333333,Medium Temperature
37.38441666666667,17.313819444444444,Medium Temperature
31.155881944444445,15.05034027777778,Medium Temperature
30.743368055555557,16.43729861111111,Medium Temperature
28.373631944444444,16.76492361111111,Medium Temperature
23.25568055555556,17.838194444444444,Medium Temperature
19.3663125,18.009083333333333,Medium Temperature
15.549097222222224,17.896562499999998,Medium Temperature
16.2088125,17.497618055555556,Medium Temperature
19.53570138888889,17.422194444444443,Medium Temperature
18.174041666666668,16.709194444444446,Medium Temperature
10.572917827298047,17.493708333333334,Medium Temperature
14.35184850590688,17.730180555555556,Medium Temperature
25.13354355400697,18.49600694444445,Medium Temperature
25.64980448950036,18.04621288921072,Medium Temperature
31.531659722222223,15.788694444444443,Medium Temperature
31.371569444444443,16.366173611111112,Medium Temperature
32.98795833333334,17.214118055555556,Medium Temperature
33.373555555555555,16.3250625,Medium Temperature
37.62560806115358,15.773432244614316,Medium Temperature
33.23253472222222,17.454375,Medium Temperature
38.457125000000005,19.252666666666663,Medium Temperature
38.96289583333333,19.367555555555555,Medium Temperature
29.874208333333332,17.981243055555556,Medium Temperature
21.734222222222225,17.599444444444444,Medium Temperature
20.425317959468902,17.927222222222223,Medium Temperature
16.184617258176758,17.302256944444444,Medium Temperature
20.742756944444444,16.327972222222222,Medium Temperature
21.65880555555556,16.860770833333333,Medium Temperature
24.4300625,16.433625,Medium Temperature
32.456875000000004,16.210518750000002,Medium Temperature
40.18366666666667,16.878,Medium Temperature
39.71960416666667,17.1875625,Medium Temperature
34.48417361111111,17.8094375,Medium Temperature
33.14384027777778,18.57914583333333,Medium Temperature
32.88072916666667,16.7313125,Medium Temperature
17.2278517397882,13.540862329803328,Low Temperature
17.184868055555555,15.794183460736624,Medium Temperature
15.048225694444444,15.716645833333336,Medium Temperature
25.583901408450703,15.235957746478874,Medium Temperature
19.92018055555556,14.59425,Low Temperature
20.798784722222223,14.770729166666666,Low Temperature
23.19620833333333,15.347375,Medium Temperature
14.319409722222222,12.211159722222222,Low Temperature
17.789777777777775,13.38549652777778,Low Temperature
21.48265277777778,14.475167361111112,Low Temperature
25.049916666666665,14.531993055555557,Low Temperature
21.80946527777778,12.115831132731063,Low Temperature
18.884631944444443,10.062363194444444,Low Temperature
19.568284722222224,12.63410277777778,Low Temperature
14.627116052814454,12.727493055555556,Low Temperature
20.282835302293257,14.340444444444444,Low Temperature
21.248860319666434,14.467118055555556,Low Temperature
29.140208333333334,13.71694722222222,Low Temperature
37.62855555555556,13.22971388888889,Low Temperature
34.13065972222223,13.147947222222223,Low Temperature
42.00321527777778,13.745220138888888,Low Temperature
44.97535416666667,14.25766527777778,Low Temperature
35.139854166666666,14.00247986111111,Low Temperature
34.65788194444444,14.620208333333332,Low Temperature
31.327361111111117,15.229333333333336,Medium Temperature
24.286708333333333,13.723715277777778,Low Temperature
25.66252083333333,11.795013888888889,Low Temperature
22.762666666666664,12.889593055555554,Low Temperature
23.325229166666663,11.08151111111111,Low Temperature
27.85879166666667,12.17595625,Low Temperature
23.64385952208544,11.079048515568427,Low Temperature
29.35556944444444,12.713656944444445,Low Temperature
28.373055555555556,14.014808333333333,Low Temperature
25.192409722222223,14.795186805555556,Low Temperature
22.526027777777777,13.447515277777777,Low Temperature
22.873069444444447,13.612695833333332,Low Temperature
21.196875,13.95239236111111,Low Temperature
16.354479166666668,13.774930555555557,Low Temperature
17.027291666666667,14.83317361111111,Low Temperature
19.806125,13.8290625,Low Temperature
22.59813888888889,14.063404166666666,Low Temperature
21.193416666666668,14.157189583333333,Low Temperature
24.81572222222222,14.786210416666666,Low Temperature
25.92910416666667,15.778902777777777,Medium Temperature
25.16539583333333,15.046930555555557,Medium Temperature
26.123548611111115,15.49019513888889,Medium Temperature
27.909770833333333,15.80101875,Medium Temperature
27.167145833333336,16.539353717859626,Medium Temperature
33.36979320531758,16.926931567328918,Medium Temperature
36.58883089770355,17.38157967988866,Medium Temperature
32.025777777777776,15.332263888888887,Medium Temperature
30.56284722222222,14.458166666666664,Low Temperature
25.104875,14.651119444444443,Low Temperature
23.709993055555557,16.013597222222224,Medium Temperature
25.29263888888889,15.169368055555555,Medium Temperature
24.49093055555556,15.564245138888888,Medium Temperature
22.230256944444445,16.189072222222222,Medium Temperature
24.762416666666663,15.65931527777778,Medium Temperature
31.744728457639397,15.102029688631426,Medium Temperature
30.100694444444443,15.781625,Medium Temperature
27.539583333333333,15.175972916666668,Medium Temperature
35.753236111111114,15.466479166666666,Medium Temperature
36.71118055555556,14.077122222222222,Low Temperature
45.00276388888889,14.398230555555555,Low Temperature
42.50246527777778,15.34857400972898,Medium Temperature
42.22634027777778,16.440089583333332,Medium Temperature
40.31036805555556,17.34930625,Medium Temperature
38.49885416666667,16.463438194444443,Medium Temperature
34.491166666666665,16.44410347222222,Medium Temperature
32.07825,17.234166666666667,Medium Temperature
28.6599375,16.902229166666665,Medium Temperature
36.17859722222222,17.156222222222222,Medium Temperature
30.55161805555556,15.682625,Medium Temperature
33.233645833333334,16.16684722222222,Medium Temperature
25.9076875,14.330819444444446,Low Temperature
26.71636805555556,12.348340277777778,Low Temperature
32.876201388888894,11.464714583333333,Low Temperature
45.484631944444445,14.578329166666668,Low Temperature
52.02514583333334,16.537899305555555,Medium Temperature
48.33290277777778,17.05959236111111,Medium Temperature
57.25498611111111,17.715340277777777,Medium Temperature
61.173902777777776,18.380525694444444,Medium Temperature
57.80980555555555,18.669854166666667,Medium Temperature
52.135645833333335,19.53861805555556,Medium Temperature
36.00194675540765,13.896056572379369,Low Temperature
40.048145833333336,18.11847222222222,Medium Temperature
41.41460416666666,17.972486111111113,Medium Temperature
38.88227083333334,17.738666666666667,Medium Temperature
38.95588888888889,18.065402777777777,Medium Temperature
37.63310416666666,17.687320138888886,Medium Temperature
39.93408333333333,18.39575,Medium Temperature
39.06909722222223,18.87454861111111,Medium Temperature
40.37890972222222,18.18694513888889,Medium Temperature
38.0923125,19.616208333333333,Medium Temperature
35.65232638888889,19.28590277777778,Medium Temperature
35.876756944444445,19.02102083333333,Medium Temperature
40.032868055555554,19.264652777777776,Medium Temperature
40.04170138888889,19.022319444444445,Medium Temperature
33.581867219917015,14.703278008298756,Low Temperature
41.92834027777778,20.033597222222223,High Temperature
33.664145833333336,20.537088255733146,High Temperature
32.006076388888886,20.85243055555556,High Temperature
38.40700694444444,19.51747222222222,Medium Temperature
32.24795833333333,18.998694444444443,Medium Temperature
34.71211805555556,20.82826388888889,High Temperature
42.74701388888889,20.744722222222222,High Temperature
39.27136111111111,20.750006944444443,High Temperature
38.35505555555555,19.844527777777778,Medium Temperature
31.59933333333333,19.695368055555555,Medium Temperature
32.05447222222222,19.71936805555556,Medium Temperature
36.42123611111112,20.40084722222222,High Temperature
48.24828472222222,22.207145833333332,High Temperature
53.41093055555556,23.008645833333333,High Temperature
48.93819444444444,23.147748436414176,High Temperature
44.66847916666666,23.74642361111111,High Temperature
47.503395833333336,23.51775,High Temperature
47.19511111111112,23.48788888888889,High Temperature
45.66423611111111,22.87843055555556,High Temperature
45.43418055555556,23.03311805555556,High Temperature
50.93453472222222,22.810534722222226,High Temperature
47.33742477256823,21.50266851980542,High Temperature
45.61479166666667,22.020902777777778,High Temperature
51.32558333333333,22.35734722222222,High Temperature
49.54078472222222,22.542743055555555,High Temperature
47.31720833333333,21.374402777777775,High Temperature
50.49930555555556,21.631916666666665,High Temperature
46.102284722222215,21.286555555555555,High Temperature
37.15773480662983,16.92524861878453,Medium Temperature
