PM2.5,Temp_Avg,Temperature
20.131194444444443,19.830513888888888,Medium Temperature
18.76564880112835,20.91611111111111,High Temperature
35.02185416666667,21.35772916666667,High Temperature
35.872395833333336,21.968729166666662,High Temperature
41.23072916666667,21.668756944444443,High Temperature
36.007222222222225,21.43343055555556,High Temperature
40.22398611111111,21.583256944444443,High Temperature
34.79241666666667,20.65945138888889,High Temperature
33.46542361111111,21.214986111111116,High Temperature
43.09247222222223,20.41241666666667,High Temperature
27.280881944444445,21.789166666666667,High Temperature
35.01194278903456,18.641525625744933,Medium Temperature
19.962352941176476,20.21846153846154,High Temperature
22.253416666666663,19.80740972222222,Medium Temperature
28.43027777777778,19.75925,Medium Temperature
24.9281875,20.78097916666667,High Temperature
25.96834722222222,19.64871527777778,Medium Temperature
24.0875,20.193229166666665,High Temperature
32.778125,20.805423611111117,High Temperature
35.881750000000004,20.4874375,High Temperature
32.96024305555556,22.1523125,High Temperature
36.08890183028287,17.73640599001664,Medium Temperature
26.43586805555556,22.485138888888887,High Temperature
36.33820138888889,23.685541666666666,High Temperature
32.5265625,24.319590277777777,High Temperature
31.14838888888889,23.691847222222226,High Temperature
23.4797625698324,23.383381944444444,High Temperature
27.766715277777777,21.62905555555556,High Temperature
24.89447916666667,21.77683333333333,High Temperature
25.166666666666668,22.81303472222222,High Temperature
22.1125625,23.534111111111116,High Temperature
24.971256944444445,24.098194444444445,High Temperature
22.40928472222222,24.2355625,High Temperature
23.444798611111118,24.432590277777777,High Temperature
21.311569444444444,24.079520833333333,High Temperature
27.12607638888889,24.31965277777778,High Temperature
23.512993055555555,23.98807638888889,High Temperature
28.2880625,23.899756775538567,High Temperature
27.700333333333337,23.83068055555556,High Temperature
26.18715277777778,23.585104166666667,High Temperature
23.634659722222224,23.89663888888889,High Temperature
24.541909722222226,24.62586111111111,High Temperature
28.169472222222225,24.008152777777777,High Temperature
27.922875,23.923805555555557,High Temperature
22.424229166666667,23.242541666666668,High Temperature
21.409506944444445,22.39984722222222,High Temperature
14.226140602582497,22.13706944444445,High Temperature
10.867485835694051,19.938166666666667,Medium Temperature
10.753037088873338,20.71661111111111,High Temperature
18.921701388888888,18.850104166666668,Medium Temperature
26.57939226519337,17.540055248618785,Medium Temperature
5.942477272727272,18.67827083333333,Medium Temperature
9.884389367816093,19.808777777777777,Medium Temperature
12.077236111111112,19.24911805555556,Medium Temperature
19.053472222222226,19.074659722222226,Medium Temperature
15.980583333333334,19.36075,Medium Temperature
24.099756944444444,20.241465277777777,High Temperature
7.042463126843658,19.379756944444445,Medium Temperature
12.116095100864554,19.914527777777774,Medium Temperature
14.708340277777776,19.114652777777778,Medium Temperature
9.916128133704737,19.25039583333333,Medium Temperature
9.13378296910324,19.425965277777777,Medium Temperature
12.791770538243624,19.53995833333333,Medium Temperature
13.737154929577464,20.7166875,High Temperature
10.882787834902244,20.67198611111111,High Temperature
12.572006944444444,20.726895833333334,High Temperature
18.44807638888889,21.13951388888889,High Temperature
17.623270440251574,19.2846875,Medium Temperature
19.169840277777777,19.382631944444444,Medium Temperature
16.273569444444444,19.98382638888889,Medium Temperature
14.19758524704245,20.34069589422408,High Temperature
16.899270833333333,19.831847222222223,Medium Temperature
17.149083333333333,18.27332638888889,Medium Temperature
9.571792656587473,17.745256944444442,Medium Temperature
12.392618542108988,18.05461805555556,Medium Temperature
9.610830815709967,17.67754861111111,Medium Temperature
15.211196275071634,17.219881944444445,Medium Temperature
13.948055555555555,17.31092361111111,Medium Temperature
15.055052950075645,13.802223903177005,Low Temperature
13.27214899713467,19.5404375,Medium Temperature
10.96979870596693,19.755375,Medium Temperature
11.183790504898266,19.00036831132731,Medium Temperature
8.106198529411765,17.975805555555556,Medium Temperature
9.139903774981496,18.396569444444445,Medium Temperature
5.871285604311009,17.8325,Medium Temperature
8.806136183689627,19.5588416988417,Medium Temperature
10.528886524822695,20.514444444444443,High Temperature
13.416274228284278,20.246659722222223,High Temperature
11.278199018920812,20.43765972222222,High Temperature
16.13885416666667,20.32852083333333,High Temperature
11.4226875,19.36524305555556,Medium Temperature
13.474909722222222,18.727006944444444,Medium Temperature
13.78492693110647,18.87108333333333,Medium Temperature
12.568516949152542,18.9355625,Medium Temperature
11.54313464235624,18.203791666666667,Medium Temperature
6.582402148887184,17.999777777777776,Medium Temperature
8.370327868852458,18.693513888888887,Medium Temperature
10.468237853517042,18.15,Medium Temperature
16.77398611111111,17.16926388888889,Medium Temperature
17.285793871866296,17.22025,Medium Temperature
16.58465083798883,18.397673611111117,Medium Temperature
10.690127208480568,19.861291666666663,Medium Temperature
9.34470839260313,19.341173611111117,Medium Temperature
13.02102384291725,18.002312500000002,Medium Temperature
18.510293501048217,17.38907638888889,Medium Temperature
18.154655532359083,18.78273611111111,Medium Temperature
19.826698389458272,18.72252083333333,Medium Temperature
22.05616944243302,19.076314265025346,Medium Temperature
15.859378571428572,18.797131944444445,Medium Temperature
27.06374651810585,18.39073611111111,Medium Temperature
22.93517361111111,19.28009722222222,Medium Temperature
11.196615276804485,19.0825625,Medium Temperature
11.241083333333334,18.58842361111111,Medium Temperature
11.577607726597323,18.51302083333333,Medium Temperature
15.447111111111113,18.134169562195968,Medium Temperature
19.92167375886525,19.31394297635605,Medium Temperature
13.914609483960948,18.844951388888887,Medium Temperature
10.62239298245614,19.33042361111111,Medium Temperature
10.811277777777777,18.60696527777778,Medium Temperature
13.898977746870653,18.94163888888889,Medium Temperature
20.498560393258423,19.11841666666667,Medium Temperature
20.62346527777778,19.83875,Medium Temperature
21.33325,18.691631944444445,Medium Temperature
16.367916666666666,19.26898611111111,Medium Temperature
12.572868055555556,17.853125,Medium Temperature
21.02782638888889,18.10356944444444,Medium Temperature
15.59621338912134,19.460034722222225,Medium Temperature
14.486578581363004,19.644715277777777,Medium Temperature
16.79099512874043,19.82255555555556,Medium Temperature
23.50427777777778,19.63253472222222,Medium Temperature
17.21995038979447,21.0096875,High Temperature
16.810020862308765,20.4720625,High Temperature
12.829574319609211,19.728291666666667,Medium Temperature
13.278989473684211,19.07599305555556,Medium Temperature
16.597007194244604,18.83075,Medium Temperature
19.05105555555556,19.6728125,Medium Temperature
28.888950276243094,15.832651933701658,Medium Temperature
20.87220291869353,19.543002084781097,Medium Temperature
18.62854907539118,20.34340277777778,High Temperature
17.620637845499648,19.101298611111112,Medium Temperature
11.69357601713062,18.750430555555557,Medium Temperature
12.166553222302678,19.73398611111111,Medium Temperature
13.800770833333331,19.71693055555556,Medium Temperature
7.3487263078089455,19.002291666666665,Medium Temperature
6.167718120805369,17.845381944444444,Medium Temperature
6.960553129548762,16.585152777777775,Medium Temperature
4.678225399495374,16.88107638888889,Medium Temperature
4.305268214571657,16.715722222222222,Medium Temperature
7.892808811959087,17.198687500000002,Medium Temperature
8.599718309859155,18.537986111111117,Medium Temperature
18.876507823613085,18.4580625,Medium Temperature
8.383261515601784,18.961770833333333,Medium Temperature
6.273097617217525,17.313819444444444,Medium Temperature
17.741588523442967,15.05034027777778,Medium Temperature
14.324295725297828,16.43729861111111,Medium Temperature
15.036472222222224,16.76492361111111,Medium Temperature
13.291917510853835,17.838194444444444,Medium Temperature
8.740969196093163,18.009083333333333,Medium Temperature
9.282312633832976,17.896562499999998,Medium Temperature
10.168622377622375,17.497618055555556,Medium Temperature
12.59,17.422194444444443,Medium Temperature
19.30791231732777,16.709194444444446,Medium Temperature
23.4727498121713,17.493708333333334,Medium Temperature
11.7565579984837,17.730180555555556,Medium Temperature
21.635720309205904,18.49600694444445,Medium Temperature
14.23599565532223,18.04621288921072,Medium Temperature
10.478442211055276,15.788694444444443,Medium Temperature
12.071391788448157,16.366173611111112,Medium Temperature
13.706604166666663,17.214118055555556,Medium Temperature
11.223881944444445,16.3250625,Medium Temperature
13.344971550497863,15.773432244614316,Medium Temperature
14.349465277777778,17.454375,Medium Temperature
19.81088888888889,19.252666666666663,Medium Temperature
19.780875,19.367555555555555,Medium Temperature
22.29354006968641,17.981243055555556,Medium Temperature
20.212055555555555,17.599444444444444,Medium Temperature
21.44278472222222,17.927222222222223,Medium Temperature
14.413176638176637,17.302256944444444,Medium Temperature
13.247032122905027,16.327972222222222,Medium Temperature
9.44569264069264,16.860770833333333,Medium Temperature
12.006379310344828,16.433625,Medium Temperature
10.1435754583921,16.210518750000002,Medium Temperature
13.80468595624559,16.878,Medium Temperature
18.730282404055032,17.1875625,Medium Temperature
24.122104166666663,17.8094375,Medium Temperature
25.112715277777777,18.57914583333333,Medium Temperature
28.32484027777777,16.7313125,Medium Temperature
14.213267776096822,13.540862329803328,Low Temperature
9.30363978899774,15.794183460736624,Medium Temperature
11.67001390820584,15.716645833333336,Medium Temperature
13.344666188083274,15.235957746478874,Medium Temperature
10.32281027104137,14.59425,Low Temperature
13.819811715481173,14.770729166666666,Low Temperature
8.317886710239652,15.347375,Medium Temperature
6.60339546191248,12.211159722222222,Low Temperature
7.197110125646711,13.38549652777778,Low Temperature
9.115128740431455,14.475167361111112,Low Temperature
11.945427350427352,14.531993055555557,Low Temperature
8.6925,12.115831132731063,Low Temperature
12.453488372093023,10.062363194444444,Low Temperature
23.471722222222223,12.63410277777778,Low Temperature
24.63334027777778,12.727493055555556,Low Temperature
20.22097902097902,14.340444444444444,Low Temperature
12.322805555555556,14.467118055555556,Low Temperature
9.018670931058992,13.71694722222222,Low Temperature
16.771508220157255,13.22971388888889,Low Temperature
22.704013888888888,13.147947222222223,Low Temperature
27.331569444444444,13.745220138888888,Low Temperature
19.654606188466943,14.25766527777778,Low Temperature
16.67395138888889,14.00247986111111,Low Temperature
23.3995,14.620208333333332,Low Temperature
18.936229166666667,15.229333333333336,Medium Temperature
19.961328671328676,13.723715277777778,Low Temperature
4.87543062200957,11.795013888888889,Low Temperature
5.75451968503937,12.889593055555554,Low Temperature
7.4791254480286735,11.08151111111111,Low Temperature
9.94347414420976,12.17595625,Low Temperature
13.452037845705966,11.079048515568427,Low Temperature
17.069215277777776,12.713656944444445,Low Temperature
9.460063604240284,14.014808333333333,Low Temperature
10.185754310344828,14.795186805555556,Low Temperature
6.988622189992748,13.447515277777777,Low Temperature
5.987872823618471,13.612695833333332,Low Temperature
6.0395076923076925,13.95239236111111,Low Temperature
6.009517638588912,13.774930555555557,Low Temperature
6.539876989869755,14.83317361111111,Low Temperature
10.491298042059464,13.8290625,Low Temperature
7.389332855093256,14.063404166666666,Low Temperature
8.457077592458303,14.157189583333333,Low Temperature
8.49043600562588,14.786210416666666,Low Temperature
9.09661733615222,15.778902777777777,Medium Temperature
7.158827838827838,15.046930555555557,Medium Temperature
9.35243105950653,15.49019513888889,Medium Temperature
12.818302446256483,15.80101875,Medium Temperature
16.727185892725938,16.539353717859626,Medium Temperature
15.658641063515509,16.926931567328918,Medium Temperature
19.085295755045237,17.38157967988866,Medium Temperature
27.00993031358885,15.332263888888887,Medium Temperature
22.494771609276174,14.458166666666664,Low Temperature
12.857328966521107,14.651119444444443,Low Temperature
11.50066091954023,16.013597222222224,Medium Temperature
9.649625176803394,15.169368055555555,Medium Temperature
15.453890832750176,15.564245138888888,Medium Temperature
11.951013513513514,16.189072222222222,Medium Temperature
11.881262057877814,15.65931527777778,Medium Temperature
16.061460506706407,15.102029688631426,Medium Temperature
15.760271587743732,15.781625,Medium Temperature
13.39697543859649,15.175972916666668,Medium Temperature
8.957475655430711,15.466479166666666,Medium Temperature
11.33283650190114,14.077122222222222,Low Temperature
23.433472527472528,14.398230555555555,Low Temperature
18.497409722222223,15.34857400972898,Medium Temperature
20.65246861924686,16.440089583333332,Medium Temperature
18.6493125,17.34930625,Medium Temperature
17.437097232079488,16.463438194444443,Medium Temperature
14.423048353188506,16.44410347222222,Medium Temperature
8.112984441301274,17.234166666666667,Medium Temperature
8.653829022988505,16.902229166666665,Medium Temperature
10.13579058327477,17.156222222222222,Medium Temperature
13.366395833333334,15.682625,Medium Temperature
12.3255625,16.16684722222222,Medium Temperature
13.203603667136813,14.330819444444446,Low Temperature
5.726111524163569,12.348340277777778,Low Temperature
6.967224199288257,11.464714583333333,Low Temperature
11.22064587973274,14.578329166666668,Low Temperature
13.668187499999998,16.537899305555555,Medium Temperature
19.41426388888889,17.05959236111111,Medium Temperature
18.32113194444445,17.715340277777777,Medium Temperature
15.99178472222222,18.380525694444444,Medium Temperature
21.78750704225352,18.669854166666667,Medium Temperature
21.85898662913441,19.53861805555556,Medium Temperature
19.17943427620632,13.896056572379369,Low Temperature
20.011368055555558,18.11847222222222,Medium Temperature
15.408444444444443,17.972486111111113,Medium Temperature
15.464625000000002,17.738666666666667,Medium Temperature
17.167777777777776,18.065402777777777,Medium Temperature
17.221291666666666,17.687320138888886,Medium Temperature
15.056576388888889,18.39575,Medium Temperature
12.87946704067321,18.87454861111111,Medium Temperature
21.055722222222222,18.18694513888889,Medium Temperature
17.078308771929823,19.616208333333333,Medium Temperature
13.284729166666663,19.28590277777778,Medium Temperature
12.76134965034965,19.02102083333333,Medium Temperature
18.846527777777776,19.264652777777776,Medium Temperature
21.433055555555555,19.022319444444445,Medium Temperature
22.978672199170123,14.703278008298756,Low Temperature
35.08686805555556,20.033597222222223,High Temperature
29.92607638888889,20.537088255733146,High Temperature
20.034909722222224,20.85243055555556,High Temperature
21.28421527777778,19.51747222222222,Medium Temperature
17.525937499999998,18.998694444444443,Medium Temperature
13.254765897973446,20.82826388888889,High Temperature
24.1066875,20.744722222222222,High Temperature
24.65375694444445,20.750006944444443,High Temperature
30.880458333333333,19.844527777777778,Medium Temperature
18.45639583333333,19.695368055555555,Medium Temperature
20.002097222222226,19.71936805555556,Medium Temperature
20.98001388888889,20.40084722222222,High Temperature
27.778402777777774,22.207145833333332,High Temperature
33.635618055555554,23.008645833333333,High Temperature
32.68034027777778,23.147748436414176,High Temperature
28.23079861111111,23.74642361111111,High Temperature
23.743972222222222,23.51775,High Temperature
26.17253472222222,23.48788888888889,High Temperature
31.09133333333333,22.87843055555556,High Temperature
28.983354166666665,23.03311805555556,High Temperature
25.455486111111117,22.810534722222226,High Temperature
28.205861111111112,21.50266851980542,High Temperature
29.806513888888887,22.020902777777778,High Temperature
29.419916666666666,22.35734722222222,High Temperature
32.80468055555556,22.542743055555555,High Temperature
30.99170138888889,21.374402777777775,High Temperature
29.36359777313848,21.631916666666665,High Temperature
26.982951388888885,21.286555555555555,High Temperature
26.147900552486192,16.92524861878453,Medium Temperature
